itemname	itemprice	size	brand
אפונה 500 גרם סוגת	5.6		
אפונה וגזר 335 גרם	6.6		
אפונה וגזר רמילוי 80	9.0		
אפונה יבשה 500ג רמיל	4.0		
"אפונה סוגת 1 ק""ג"	9.5		
אפונה עדינה סנפרוסט	17.9		
אפונה קטנה מארז 3*11	15.9		
אפונה קלויה 150 גר ב	7.0		
"אפונה רמי לוי 1 ק""ג"	8.6		
אפונת גינה 250 גר	6.9		
אפונת גינה 308 גרם	9.9		
אפונת גינה 325 גר רמ	6.6		
אפונת גינה וגזר 314	9.9		
אפונת גינה וגזר 325	6.6		
אפונת גינה סנפרוסט 8	18.9		
אפונת גינה רמילוי 80	11.1		
אפיכל סירופ בטעם מיי	12.9		
אפיכל סירופ בטעם שוק	12.9		
אפקטיב קר לגבר 3ב1 7	18.1		
אפקטיב קר לגבר ג'ל ר	18.1		
אפקטיב קר לגבר קרם ג	30.2		
אפקטיב קר מים מיסלרי	30.0		
אפקטיב קר קרם ידיים	15.9		
אפקטיב קר קרם לכף הר	16.1		
אפקטיב קר קרם רב שימ	29.9		
אפרופו חטיף תירס איט	4.5		
אפרופו חטיף תירס אסם	4.5		
אפרופו טיובס חמוץ חר	4.5		
אפרסמון	9.8		
אפרסק	12.9		
אפרסק פירות בכוסות פ	11.1		
אפרסקים וילי פוד 480	9.9		
אצבעות גבינה 21% (4	6.9		
אצבעות גבינה חצי קשה	16.9		
אצבעות מילקיניס מילק	10.8		
אצבעות פילו בולגרית	14.5		
אצבעות קינדר שוקולד	4.9		
אצבעות שוקולד וניל	68.7		
אצבעות שוקולד צימוקי	59.0		
אצבעות שניצל בציפוי	39.9		
אצבעות שניצל עוף 700	37.9		
אצבעות שניצל רמי לוי	45.4		
אצות נורי בלו 10 דף	10.8		
אקוה בלו סבון לניאגר	19.9		
אקווה פרש 125 מל' אק	11.9		
אקווה פרש לשיניי חלב	11.9		
אקולוגית צלחת 10' (2	18.9		
אקולוגית צלחת 7' (25	8.9		
אקולוגית צלחת 9' (25	15.9		
אקונומיקה בריח לימון	8.9		
אקונומיקה ללא בישום	10.9		
אקונומיקה מבושמת סמי	11.9		
אקונומיקה מבושמת רמי	11.9		
אקונומיקה סמיכה בריח	8.9		
אקטיב פרש מילוי יסמי	19.9		
אקטיב פרש מילוי ניחו	19.9		
אקטיביה משקה במתיקות	5.3		
אקטיביה משקה יוגורט	5.3		
"אקטיביה עם ש""ש פשתן"	4.7		
אקטיביה שיבולת שועל	4.7		
אקטימל פלוס טעם תות	19.5		
אקטימל שמינייה תות	19.5		
אקס ג'ל רחצה אייס לג	13.8		
אקס גל רחצה בלאק 400	13.8		
אקס דאו ספריי * אנרכ	14.9		
אקס דאו ספריי *בלאק	14.9		
אקס דאו ספריי *לגבר	14.9		
אקס דאו ספריי אנרכי	14.9		
אקס דאו ספריי גוף אפ	14.9		
אקס דאו ספריי גוף טמ	14.9		
אקס דאו ספריי* שוקול	14.9		
אקס ספרי גוף אפיק פר	14.9		
אקס ספריי אנטי פספרנ	17.9		
אקס ספריי גוף פרימיו	17.9		
אקסטרה טורטיה ציפס ב	7.5		
אקסטרה טורטיה ציפס מ	7.5		
אקסטרה טורטיה ציפס ע	7.5		
אקסטרה ציפס אורז חום	7.5		
אקסטרה ציפס טקסס ברב	7.5		
אקסטרה ציפס משפחתי ט	12.4		
אקסלנס קרם 1 שחור	39.9		
אקסלנס קרם 4 חום כהה	39.9		
אקסלנס קרם 7.1 בלונד	39.9		
ארוויק מרסס ספריי 23	14.9		
ארוחת נודלס בטעם בשר	2.5		
ארוחת נודלס בטעם ירק	2.5		
ארוחת נודלס בטעם סינ	4.9		
ארוחת נודלס בטעם עוף	2.5		
ארוחת נודלס תירס מג'	4.9		
ארטישוק תחתיות 400 ג	13.1		
אריאל ג'ל ניחוח הרים	39.2		
אריאל ג'ל קולור 1.75	39.2		
אריאל ג'ל קולור 2.79	49.8		
אריאל קפסולות ג'ל קו	35.2		
אריאל קפסולות כביסה	34.3		
אריאל קפסולות לכביסה	34.3		
אריזה משפחתית חמוץ 1	15.1		
אריסה 250ג בק' לחיץ	14.9		
אריסה חריפה 250 גר ר	13.9		
אריסה מרוקאית תבליני	15.7		
אריסה מתוקה 250 גר ר	13.9		
ארלה גבינת שמנת עשבי	14.9		
ארנבונים חטיף תפוחי	3.9		
ארסי קולה שישייה 1.5	26.8		
אשבול דגן חמאה 150 ג	8.8		
אשבול דגן לבן 150גר	8.0		
אשבול פצפוצי אורז 37	12.9		
אשכולית צהובה	3.8		
אשל 4.5% 200מל מהדרי	1.9		
באגט עם חמאת שום קפו	12.5		
באדוויזר בירה פחית 5	9.5		
באונטי מיני 333 גר	27.9		
באזז קוקטייל מוחיטו	27.9		
באנר אותיות HB מטאלי	9.9		
בארכה חטיף חלבה וניל	4.5		
בארכה חלבה וניל פיסט	13.9		
בארכה חלבה מסולסלת ו	13.9		
בארכה חלבה מסולסלת ש	13.9		
בארכה טחינה מעודנת 3	13.9		
בארכה מיקס פינוקיות	9.9		
בגט לבן	5.8		
בגט פילסברי	5.8		
בגט רוסטיק	9.5		
בגט רוסטיק עם קמח מל	9.5		
בדי טהרה	6.9		
בדי טהרה בת מלך	14.9		
בדין אקסטרא פלוס כחו	15.9		
בדין אקסטרא פלוס מרו	15.9		
בדין אקסטרא פלוס ניח	15.9		
בדין אקסטרא פלוס צהו	15.9		
בדין אקסטרה 960מל אל	15.9		
בדין אקסטרה 960מל לק	15.9		
בדין אקסטרה 960מל רו	15.9		
בדין אקסטרה פלוס זר	15.9		
בדין דפים למייבש כבי	16.9		
בדין מרכך כביסה 4 לי	22.9		
בדין מרכך כביסה ורוד	22.9		
בדין מרכך כביסה כחול	22.9		
בדין מרכך כביסה לבן	22.9		
בדין מרכך כביסה סגול	22.9		
בדין שמפו לכביסה עדי	24.9		
בדיקת הריון 6 סטריפי	30.3		
בוב ספוג אל סבון קמו	9.9		
בוטני חטיף בוטנים 25	8.9		
בוטני חטיף בוטנים 80	3.0		
בוטנים * קלויים 200	7.9		
בוטנים אמריקאיים מצו	6.0		
בולגרית 16% שומרון 2	22.9		
בולגרית למריחה פיראו	14.9		
בולגרית מסורתית 16%	51.0		
בולגרית מסורתית 5%	51.0		
בולגרית מסורתית 5% 2	22.7		
בולגרית מעודנת 16%	45.0		
בולגרית מעודנת 24% 2	24.5		
בולגרית מעודנת 5%	45.0		
בולגרית מעודנת פיראו	24.5		
בולגרית מעודנת פרוסו	23.9		
בולגרית מעודנת קוביו	23.9		
בולגרית פיראוס 16% ש	24.5		
בולגרית פיראוס 24% ש	24.5		
בולגרית פיראוס 5% שו	24.5		
בולגרית קוביות פיראו	23.9		
בונבוניירה באריזת לב	18.9		
בונבוניירה מרסי 400	44.9		
בונבוניירה רפאלו 240	28.5		
בונבוניירה שוקולד אג	12.7		
בונבוניירה שוקולד מר	26.8		
בונבוניירת פררו רושה	29.4		
בונבוניירת רפאלו פרר	19.9		
בוראטה 28% שומן	18.9		
בוראטה גבינת מוצרלה	19.9		
בורגול 500 גרם סוגת	5.6		
בורגול 500ג רמי לוי	4.6		
"בורגול סוגת 1 ק""ג"	8.8		
בורגר פטריות טבעונית	24.2		
בורגריה עננים 400 גר	13.9		
בורי נקי שלם במגשית	48.9		
בורקס גבינה 700ג רמי	15.1		
בורקס גבינה מעדנות 8	22.9		
בורקס גבינה רמי לוי	14.1		
בורקס גבינה שחף 800	12.9		
בורקס יפו גבינה 4יח*	19.1		
"בורקס יפו תפו""א 4*15"	17.0		
בורקס פילו אצבעות בו	16.8		
בורקס פילו אצבעות גב	14.5		
בורקס פילו גבינה זית	16.8		
בורקס פילו גבינה מעד	21.1		
בורקס פילו תפוחי אדמ	24.2		
בורקס תפוא רמי לוי 8	12.1		
בורקס תפוח אדמה 700ג	15.1		
בורקס תפוח אדמה שחף	12.9		
בורקס תפוחי אדמה מעד	21.9		
בזיל חסלט בדץ	7.9		
בזיליקום רוטב עגבניו	10.8		
בזיליקום שדות בעמק	6.9		
בטטה	7.8		
בי פט פטה סלמון לחתו	5.9		
ביונד מיט בורגר טעם	29.9		
בייבי ביס חטיף אורז	13.6		
בייבי דול סוכרית לקק	2.1		
בייבי כיף קרם גוף לפ	19.9		
בייבי מוצרלה 140גר	14.5		
בייבי מוצרלה 150 גר	11.9		
בייבי מוצרלה 18% שומ	85.0		
בייבי מיקס תקומה	8.9		
בייבי קרם נגד גירויי	9.9		
בייביסיטר משופר מידה	32.9		
בייגל אמריקאי 382 גר	19.9		
בייגל טוסט	4.2		
בייגל רומני	4.9		
בייגלה אסם רשתות מלח	9.9		
בייגלה גדול עם מלח 2	5.5		
בייגלה דג דג מלוח 25	10.9		
בייגלה דקים ושומשום	9.9		
בייגלה דקים עם מלח 3	9.9		
בייגלה דקים שמנת בצל	9.9		
בייגלה טבעות מלח 400	9.9		
בייגלה טבעות שומשום	9.9		
בייגלה כוסמין אורגני	15.9		
בייגלה כפיות איטלקי	9.9		
בייגלה כפיות פיזור כ	9.9		
בייגלה מקלות 400 גרם	9.9		
בייגלה מקלות מלוחים	9.9		
בייגלה מקלות עם מלח	5.5		
בייגלה סנדוויץ גבינה	19.9		
בייגלה עגבניות ועשבי	6.9		
בייגלה שטוחים מלח אס	9.9		
בייגלה שטוחים שומשום	9.9		
בייגלה שמיניות גדולו	13.9		
בייגלה שמיניות ללא ג	9.9		
בייגלה שמיניות מלוחו	9.9		
בייגלה שמיניות מלח ב	9.9		
בייגלה שמיניות עם מל	5.5		
בימבה ג'וק	69.9		
ביסבול כדורי פירה מת	15.9		
ביסלי בטעם בצל אסם 7	3.9		
ביסלי בטעם ברביקיו א	3.9		
ביסלי ברביקיו 200גר	6.5		
ביסלי ברביקיו 4*55גר	14.8		
ביסלי גריל 4*55גרם	14.8		
ביסלי חטיף בטעם בצל	6.5		
ביסלי חטיף בטעם ברבי	12.9		
ביסלי חטיף בטעם גריל	3.9		
ביסלי חטיף בטעם פיצה	3.9		
ביסלי חטיף בטעם פלאפ	3.9		
ביסלי פארטי מיקס 150	6.9		
ביסקוויט במילוי קרם	4.9		
ביסקוויט מצופה שוקול	16.1		
ביסקוויט מרי ללא תוס	18.1		
"ביסקוויט פריך לל""ס 2"	11.7		
ביסקוויט פתי בר 500	6.8		
ביסקוויט פתי בר אסם	8.9		
ביסקוויט פתי בר שוקו	8.9		
ביסקויט מחיטה מלאה ל	10.0		
ביסקויט מתוק גן חיות	4.0		
ביצי דג שיבוט 200 גר	13.0		
ביצים 12 יח L	14.09		
ביצים 12 יח M	13.0		
ביצים 30 יחידות M	32.4		
ביצים L 18 יחידות	20.9		
ביצת קינדר פררו דרום	5.5		
בירה אוסטרליאן פייל	11.1		
בירה איגל חוזר 500 מ	5.9		
בירה בדוויזר שישייה	34.9		
בירה בהירה הל BERLIN	8.0		
בירה בהירה לא מסוננת	8.0		
בירה בלנש חיטה בלגית	11.1		
בירה בפחית קרלסברג 5	8.9		
"בירה בקס 6* 275 מ""ל"	29.9		
בירה גולדסטאר לא מסו	8.4		
בירה גולדסטאר פחית 5	8.6		
בירה גולדסטאר שישייה	32.9		
בירה טובורג בפחית 50	8.9		
בירה לה שוף קטן 330	13.9		
בירה לף בלונד בקבוק	39.9		
בירה לף בלונד פחית 5	12.0		
בירה לף בראון בקבוק	39.9		
בירה מילר פחית 500 מ	12.2		
"בירה מכבי 500 מ""ל בק"	6.9		
בירה ניו אינגלנד 500	11.1		
בירה סטרופראמן שישיי	34.9		
בירה סינגה שישייה 33	33.9		
בירה פילזנר צ'סו	7.6		
בירה צ'סו כהה	9.9		
בירה צ'סו לא מסונן	9.9		
בירה צ'רי שוף 8% 330	13.9		
"בירה קורונה 335 מ""ל"	8.0		
בירה קסטיל רובהוס 33	12.9		
בירה קסטיל רוז' פחית	12.9		
בירה קרלסברג 6*330 מ	34.8		
בירה שחורה דיאט נשר	7.9		
בירה שחורה מאלטי 6*3	26.7		
בירה שחורה נשר מאלט	7.9		
בישקוטים 200ג רמילוי	8.0		
בישקוטים בונומי 200ג	7.6		
בית השיטה זית מרוקאי	15.7		
בית השיטה זיתים ירוק	9.3		
בית השיטה זיתים שלמי	14.9		
בית השיטה חצילים מוח	10.9		
בית השיטה חרוזית זית	14.9		
בית השיטה חרוזית קוק	17.8		
בית השיטה חרוזית קלמ	14.9		
בית השיטה טבעות זיתי	12.9		
בית השיטה ירקות מעור	15.9		
בית השיטה כרוב כבוש	8.6		
בית השיטה מלפפון בחו	7.7		
בית השיטה מלפפון במל	7.7		
בית השיטה מלפפון מלח	9.5		
בית השיטה פלפל שיפקו	11.9		
בית השיטה קוקטייל זי	14.9		
בית השיטה שיפקה 230	6.9		
"בלאש רוזה יבש 750 מ"""	49.9		
בלה פסטה קאפ 55 גר	7.6		
בלו סיקס ללא סוכר 25	3.9		
בלובנד קוקוס 200 ג כ	8.5		
בלונים נקודות יום הו	12.9		
בלונים צבעונים (50 י	9.9		
בלונים צבעונים פסטל	9.9		
בלונס רפידות הנקה בי	23.9		
בלוק ציור 1/4 גיליון	8.9		
בלוק ציור 1/8 גיליון	6.9		
בלנדר מקל לבן + כוס	54.9		
בלקוני וופל אגוזים 1	8.0		
בלקוני וופל קקאו 175	8.0		
בלקוני עוגות מיקס מק	13.9		
במבה ביסלי ברביקיו מ	4.5		
במבה ביסלי גריל מיקס	4.5		
במבה במילוי אייס קפה	9.0		
במבה במילוי מרשמלו ע	4.5		
במבה במילוי נוגט אסם	4.5		
במבה במילוי קרם נוגט	13.9		
במבה בסלי בצל מיקס 7	4.5		
במבה חטיף בוטנים אסם	4.0		
במבה חטיף בוטנים במי	4.5		
במבה מתוקה 100 גרם	8.0		
במבה שמש 70 גרם אסם	4.5		
במיה קפוא 600ג רמילו	9.0		
בננה	9.8		
בננה מסוכרת 200 גרם	12.9		
בננה ציפס 200 גר בקו	7.0		
בננית 150 גרם	13.1		
בס טרי נקי מגשית	56.9		
בסגנון פטה רמי לוי	32.0		
בסיס להכנת קצפת ריצ'	6.9		
בפלות בטעם לימון 20	5.3		
בפלות בטעם שוקולד 20	5.3		
בפלות טעם אגוזים 200	5.3		
בפלות עלית 500 גרם	14.9		
בצל אדום	4.8		
בצל יבש	3.8		
בצל ירוק	5.9		
בצל ירוק א.אדמה	6.9		
בצל ירוק מהדרין רמי	6.9		
בצל ירוק שדות בעמק	7.9		
בצל ירוק שקית בדץ חס	7.9		
