itemname	itemprice	size	brand
"ELVIVE שמפו מטפח לשיער צבוע 500 מ""ל"	20.9		
"ELVIVE שמפו משקם לשיער ארוך 500 מ""ל"	20.9		
"FAST ABSORBING קרם גוף אפקטיב קר 700 מ""ל"	36.9		
FAZER- טוסט שיפון מלא 200ג	19.9		
FAZER- טוסט שיפון מלא חום 215 ג	19.9		
G FREE קמח כרובית 100% ירק 250 גרם	21.9		
"G100 גאון בניקיון נוזל הפלא 500 מ""ל"	22.9		
"G200 גאון בניקיון נוזל חיטוי 500 מ""ל"	25.9		
"GG רוטב סמוראי 550 מ""ל"	24.9		
GREENFIELתה שחור קניין סאנרייז - 100 יח	41.9		
HAGERTY מבריק ומגן משחה לכלי כסף 185 גרם	49.9		
HOT DRINK EXPERTNAXTRA PRO זוג פילטר	129.9		
HP רוטב 255 גרם	23.9		
ICHOC שוקולד עם אגוזי לוז אורגני 80 גרם	17.9		
ICHOC שוקולד שבבי בייגלה מלוח אורגני 80	17.9		
"IMPRESSION פטיט סירה 150 שנה 750 מ""ל"	49.9		
"IPA בירה ברודוג פאנק פחית 330 מ""ל"	15.9		
ITO EN תה ירוק 20 שקיקיונים 40 גרם	37.9		
JINN גרעיני חמניות קלויים 350 גר	19.9		
JOYCO PANDA דרזיה שוקולד חלב 150 גר	12.4		
K - 2000	41.9		
K-300	24.9		
"K-300 סנו 300 מ""ל"	14.9		
K-300 פלוס 8	27.9		
"K-400 קוטל חרקים 300 מ""ל"	14.9		
K3 פיתיון גל נמלת אש	54.9		
K500	27.9		
K600	27.9		
"KH-7 סופר מסיר כתמים 750 מ""ל"	26.9		
"KH-7 סופר מסיר כתמים בייבי 750 מ""ל"	26.9		
KUSCHELWIECH מרכך כביסה היפואלרגני 1 ל	17.9		
KUSCHELWIECH מרכך כביסה נשיקה ורודה 1 ל	17.9		
KUSCHELWIECH מרכך כביסה רוח קיץ 1 ליטר	17.9		
L כפפות ניטריל שחור טאצ	22.9		
L כפפות ניטריל שחורות 80 יחידות	34.9		
L כפפות ניטריל שחורות פארמה אייד 100 יח	22.9		
L שקיות אשפה חזקות במיוחד 40 יח גלילונית	17.9		
L שקיות אשפה חזקות במיוחד 60 יח גלילונית	22.9		
L&M בלו לייבל קצר-חפיסה	41.0		
"LA BALEINE מלח ים בשקית 1 ק""ג"	17.9		
LA PALMA-dd-לבבות דקל (צנצנת) 410 גר 12	24.9		
LA PALMA-dd-לבבות דקל(פחית)400 גר 24\1	15.9		
LD 100	33.0		
LD אדום	33.0		
LD אדום עשירייה	325.0		
LD כחול	33.0		
LD סלימס בודד	31.5		
LESTELLO פריכיות חומוס 135 גרם	16.9		
LESTELLO פריכיות עדשים 135 גרם	16.9		
LESTELLO פריכיות קינואה 135 גרם	16.9		
LOVELY מרכך כביסה מקסימה מרוכז 1 ליטר	18.9		
"LOVLIS שמן אקליפטוס 10 מ""ל"	20.9		
"LOVLIS שמן לבנדר 10 מ""ל"	25.9		
"LOVLIS שמן מנטה 10 מ""ל"	25.9		
"LOVLIS שמן עץ התה 10 מ""ל"	30.9		
Laurieri ברוסקטה עם זיתים סקרוצ 175 ג	10.9		
M כפפות ניטריל שחור טאצ	22.9		
M סנו שקית זיפר 20 יח	18.5		
M תבנית אלומיניום 10 יח	13.5		
"MAGGI-רוטב לתיבול 202 מ""ל"	23.9		
MAXTRA PRO ALL IN 1 מארז שלישיית פילטרים	155.9		
MEGA מגבת נייר ניקול שישייה	21.9		
MEN SPORT שמפו/תחליב רחצה 3 ב 1 700 מ	19.9		
MEN אפקטיב קר גל רחצה 3 ב 1 700 מ	19.9		
MEN שמפו ותחליב רחצה אפקטיב קר 3 ב 1 200	11.9		
MILLENIUM FAVORITE שוקולד 80% מריר 100 גר	15.9		
MILLENIUM ORANGE שוקולד 74% מריר 100 גר	14.9		
MONDAY דגני בוקר מיניונים 311 גר	25.9		
MUTTI קטשופ עגבניות 300 גרם	15.5		
"Mango Loco מונסטר 500 מ""ל"	9.9		
NEVA פסטילה וניל דו שיכבתי עם מרמלד 200 גר	12.9		
"NON AP אקס ספריי אקווה קנובי 150 מ""ל"	22.9		
"NON AP אקס ספריי גרניום קנובי 150 מ""ל"	22.9		
"NON AP אקס ספריי לבנדר קנובי 150 מ""ל"	22.9		
"NON AP אקס ספריי נחושת קנובי 150 מ""ל"	22.9		
NOTUNA תחליף טונה טבעוני משומשו 180 גרם	27.9		
Nadias שניצל טבעוני אפונה 83 גר בסגנון	24.9		
ORIMI תה טס אורנג 25 שקיות 1.5 גר	12.9		
ORIMI תה טס ליים 25 שקיות של 1.5 גר	12.9		
"OS+ שמן אובליפיחה לבליעה 100 מ""ל"	129.9		
Osweet ממרח חלבה 300 גרם	69.9		
PAGANI רביולי גבינה וכמהין 250 גרם	21.9		
PET צמד בקבוקי פלסטיק לבן למדיח 1 ליטר	59.9		
"PHARMAX קרם חמצן 9% 60 מ""ל"	6.9		
"PIVETTI קמח 00 לכל מטרה 1 ק""ג"	10.5		
"PIVETTI קמח איטלקי ללחמים 1 ק""ג"	13.9		
"PIVETTI קמח איטלקי לפיצה ופוקצה 1 ק""ג"	13.9		
"PIVETTI קמח לפסטה 00 1 ק""ג"	15.9		
POLPA עגבניות חתוכות דק 400 גרם MUTTI	11.2		
POLPA עגבניות חתוכות דק 400X3 גרם MUTTI	23.9		
PRO אטריות מעדשים צהובות אורגני 250 גרם	22.9		
PRO קרקר חלבון קלאסי איטסיין 180	25.9		
RAYS המבורגר מן הצומח 260 גרם	29.9		
RAYS נקניקיות בראטוורסט מן הצומח 360 גרם	41.9		
RAYS נקניקיות מרגז מן הצומח 360 גרם	41.9		
RED קפה טורקי 100 גרם	10.9		
"ROMANTIC SUNSET תחליב גוף קמיל 400 מ""ל"	31.9		
"Realime מיץ לימון 250 מ""ל"	9.9		
S שקיות אשפה לפחים קטנים 100 יח גלילונית	21.9		
"SCHAR גבטה לל""ג 200 גרם"	26.9		
SCHAR לחם הבית 240 גרם	28.9		
SCHAR קרקר בתוספת דגנים 210 גרם	32.9		
SCHAR שוקו סטיק ללא גלוטן 150 גרם	29.9		
SIMPLY FRUIT מולר בטעם אפרסק 3% 150 גר	6.2		
SIMPLY FRUIT מולר בטעם קיווי 3% 150 גר	6.2		
SIMPLY FRUIT מולר בטעם תות 3% 150 גר	6.2		
SLEEPYTIME	19.9		
SMAKKOתערובת תבלינים ארומטי בטעם בשר 80ג	7.5		
SWEET KISS דיאודוראנט ספריי נושם בנות	13.9		
TEREA אמבר חפיסה	38.0		
TEREA ברונז חפיסה	38.0		
TEREA סאן פרל חפיסה	38.0		
TEREA סגול חפיסה	38.0		
TEREA סיינה חפיסה	38.0		
TERREעגבניות מיובשות בשמן חמניות 280 גר	19.9		
TNX NO.06 גל כביסה+מרכך 2 ליטר	44.9		
TNX גל כביסה כחול לכביסה לבנה 1.35 ליטר	30.9		
TNX גל כביסה צבעונית 1.35 ליטר	30.9		
TNX כריות קרצוף לכלים 6 יחידות	13.9		
"TNX מבשם בדים בייבי לאב 500 מ""ל"	20.9		
"TNX מבשם בדים בניו בורן 500 מ""ל"	20.9		
TNX מגבות נייר לניקוי והברקה 3 יחידות	22.9		
TNX מטליות מיקרופייבר עבות אפור 2 יחידות	9.9		
TNX מרכך כביסה סופר מרוכז אוריינטל 900 מ	20.9		
"TNX מרכך כביסה סופר מרוכז בלו 900 מ""ל"	20.9		
"TNX מרכך כביסה סופר מרוכז לגונה 900 מ""ל"	20.9		
TNX מרכך כביסה סופר מרוכז פרש וויט 900 מ	20.9		
"TNX מרסס מנטרל ריחות 500 מ""ל"	20.9		
"TNX מרסס מנקה ריפודים 500 מ""ל"	25.9		
"TNX נוזל ניקוי חלונות פרש וויט 750 מ""ל"	13.9		
"TNX נוזל ניקוי כלים אמור 750 מ""ל"	15.9		
"TNX נוזל ניקוי כלים פרש וויט 750 מ""ל"	15.9		
TNX נוזל רצפות אוריינטל פינק 1.35 ליטר	25.9		
TNX נוזל רצפות בייבי לאב 1.35 ליטר	25.9		
TNX נוזל רצפות פרדייס 1.35 ליטר	25.9		
TNX נייר טואלט תלת שכבתי מבושם 24 יחידות	41.9		
TNX תרכיז ניקוי לשואב פרש וויט 1.35 ליטר	89.9		
TO GO שמפו לפני השינה קמיל בלו 100 מ	11.9		
UCC משקה קפה שחור ללא סוכר 185 גרם	10.9		
"V.S הנסי 700 מ""ל באריזת מתנה"	149.9		
VALDAY מלפפונים בחומץ 650 גרם	13.9		
VALDAY מלפפונים במלח עם עלי אלון 650 גרם	16.9		
VALDAY עגבניות בחומץ 660 גרם	12.9		
VEET רצועות שעווה קרה	38.9		
VENUS SIMPLY 3 סכיני גילוח חד פעמי 4 יח	24.9		
VITASI משקה סויה 1 ליטר	15.9		
VITASI משקה שקדים אורגני 1 ליטר	19.5		
"VOSS-מים מוגזים טעם קלמנטינה למון 375מ""ל"	14.2		
"VSOP קוניאק מרטל 750 מ""ל"	249.9		
WAWEL פרמיום שוקולד מריר 64% קקאו 90 ג	14.9		
"WIN שייק חלבון בטעם וניל 330 מ""ל"	15.9		
"WIN שייק חלבון בטעם וניל 500 מ""ל"	21.9		
"WIN שייק חלבון בטעם שוקולד 330 מ""ל"	15.9		
"XL TEN משקה אנרגיה ללא סוכר 250 מ""ל"	4.9		
"XL TEN משקה אנרגיה מנגו ללא סוכר 250 מ""ל"	4.9		
"XL TEN משקה אנרגיה פתוח ללא סוכר 250 מ""ל"	4.9		
XL מלבורו טאצ חפיסה	42.0		
XL סושי מפת שולחן מוטבעת	9.3		
XL קוויק שקיות אשפה עם ידית 25 יח	14.9		
XL קליק שוקולד חלב עוגיות ודגנים 85 גרם	11.5		
"XLמשמש אפרסק פחית 250 מ""ל"	4.9		
XXL ניקול שקיות אשפה עם ידיות 30 יחידות	28.9		
YAK ספוג מבריק וצובע שחור 130 גרם	18.9		
YOLO מעדן שכבות שוקולד מריר ולבן 123 גר	5.9		
YOLO שוקולד לבן מעולה 123 ג	5.9		
Young פירה עם נקניקיות 350 גרם	26.9		
allgood מרק עגבניות קרמי אורגני 400	21.9		
allgood מרק תירס קרמי אורגני 400	21.9		
"b&b רוטב איטלקי לסלט 473 מ""ל"	27.9		
"b&b רוטב אלף האיים לסלט 473 מ""ל"	27.9		
"b&b רוטב חרדל ודבש לסלט 473 מ""ל"	25.9		
fashion sweetie מילו	12.9		
fire סאוור מדנס סוכריות חמוצות 60 גר	9.9		
"fit סבון כלים דרמטולוגי אלוורה 750 מ""ל"	14.9		
"fit סבון כלים חזק לשומנים 750 מ""ל"	14.9		
mysteסאוור מדנס סוכריות חמוצות 60 גר	9.9		
"spf50 אולטרסול קידס גל שקוף 50 מ""ל"	60.9		
"spf50 סקין גארד ספריי שקוף אננס 300 מ""ל"	54.9		
א.ב טננבלוט - איירון	79.9		
א.ב טננבלוט טננבלוט סוכריות 75 גר	21.9		
א.כ. מקסימה מאסק 2.5 קג	33.9		
א.ש. חטיף לבבות סלמו	29.9		
א.ש. חטיפים פונקציונ	69.9		
א.ש. סטיקים דנטליים	9.9		
א.ש. שלוקים לחתול בט	13.9		
א.ש.חכה+כדור פלאפי ל	24.9		
א.ש.מיטה לכלב פס כתו	89.9		
א.ש.שלישיית כדורי טנ	19.9		
א.ש.שקיות איסוף צרכי	14.9		
"אב.כביסה פרסיל 1.25 ק""ג"	14.5		
"אב.כביסה פרסיל קולור 1.25 ק""ג"	14.5		
"אבדיה דל רובלה רוזה 750 מ""ל"	32.6		
אבוקדו	9.9		
אבוקדו אורגני	38.9		
אבוקדו בשל	18.9		
אבזרי מטבח	4.9		
אבטיח	3.9		
אבטיח 600 גר	26.9		
אביזרי מטבח	9.9		
אביזרי מניקור	9.9		
אביזרי רחצה	19.9		
אביזרי שיער	9.9		
אבלון אורגניקס שמפו ביוטין -קומפלקס ויטמ	79.9		
אבן דאודורנט סטיק 120 גר חדש	54.9		
אבץ + ויטמין סי למציצה 60 טבליות	47.9		
אבץ 50 מג	77.9		
אבקה להכנת מרק יבש ב	6.9		
אבקה להכנת משקה קפה נמס בטעם אמריקנו 120	14.9		
אבקה להכנת משקה קפה נמס בטעם לאטה 144 גר	14.9		
אבקה להכנת משקה קפה נמס בטעם מוקצינו 144	14.9		
אבקה להכנת משקה קפה נמס קפוצינו 144 גר	14.9		
"אבקה למניעת אבנית קלגון 1 ק""ג"	38.9		
אבקת אפיה 10 יח	2.9		
אבקת אפיה 10 יח בצלופן	3.5		
"אבקת אפיה ללא אלומיניום לל""ג 600 גרם"	19.9		
אבקת אצת ספירולינה 500 גרם	139.9		
אבקת גלטין טהור 28 גר	11.9		
אבקת הלבנה 500 גרם	23.9		
אבקת וואסבי 35 גרם קינגדאוו	16.5		
אבקת חרדל קולמנס 57 גרם	24.9		
"אבקת כביסה מקסימה ניחוח מרכך סילק 2 ק""ג"	33.9		
"אבקת כביסה מקסימה סנסיטיב 6 ק""ג"	54.9		
אבקת כביסה סנו מקסימה בייבי 3.25 קג	43.9		
"אבקת כביסה פרסיל קולור 2.5 ק""ג"	33.9		
"אבקת כביסה קולון 101 2.5 ק""ג"	34.9		
"אבקת כביסה קולון 101 5 ק""ג"	53.9		
אבקת מאקה 250 גרם NC	139.9		
אבקת מיץ עשב שעורה 230 ג	139.9		
אבקת מרק ירקות אורגני 200 גר	27.9		
אבקת מרק לתיבול בטעם	5.9		
אבקת מרק עוף אמיתי 400 גרם-מיכל	20.9		
אבקת מרק עוף קנור 400 גרם-צנצנת	19.9		
אבקת סוכר 100 גר	3.1		
אבקת סוכר 100 גרם	2.6		
אבקת סמבוק שחור אורגנית עתיד ירוק 100 גר	89.9		
אבקת פסיליום אורגני 300 גרם	45.9		
אבקת פסיליום אורגנית עתיד ירוק 200 גרם	30.9		
אבקת קקאו 227 גר	87.9		
אבקת רוטב פטריות לבשר-30 גרם	5.8		
אבקת רוטב צלי לבשר-22 גרם	6.5		
אבקת שוקו חלב נסטלה 193.6 גרם	32.9		
אבראו דורסו יין מבעבע רוזה חצי יב 750 מ	52.9		
"אברפלדי 12 שנה 700 מ""ל (כשר)"	219.9		
אגוז טרי	82.9		
אגוז מוסקט במשקל	185.0		
אגוז מלך	79.0		
אגוז מלך טחון 100 גר	17.9		
אגוז מלך קלוף 100 גר	16.5		
אגוזי 45 גרם	4.9		
אגוזי אדמה חמאה בוטנים 700 גר	32.9		
אגוזי לוז בציפוי שוקולד מריר 180 גרם	19.9		
אגוזי לוז מסוכרים 100 גר - ברס	15.9		
אגוזי מלך 200 גר	18.9		
אגוזי מלך קליית גת 150 גר	23.9		
אגוזי קשיו קלופים 150 גרם	20.9		
אגוזים מלך קלופים 150 גרם ששון הקולה	15.9		
אגוזנו בסגנון פרמזן 100 גרם	24.9		
אגיקה פיקנטי ביתי דיאדיה וניה 460 גרם	19.5		
אגס אדום	18.9		
אגס נשי	19.9		
אגסים	14.9		
אגקס חגיגת הפרחים פרחים אפרסק 1.5 ליטר	26.9		
אגקס חגיגת פרחים 1.5 ל אדום פרחי בר	26.9		
אגקס חגיגת פרחים 1.5 ל ירוק בניחוח אביב	26.9		
אגקס לניקוי חלונות כחול 1.5 ליטר	26.9		
אגקס ניקוי כללי 2ל לוונדר	30.9		
אגקס ניקוי כללי עוצמת ה7 כחול 2 ליטר	30.9		
אגקס ספריי רב פעולות 600 מל	17.9		
אגקס שירותים מרענן חדש 750 מל	20.9		
אגרול במילוי ירקות 330 גרם	39.9		
אגרול במילוי עוף 330 גרם	44.5		
אגרול סיני רוטב 600 גרם	16.9		
אדג גל רגיל	22.9		
אדג גל רגיש	22.9		
"אדג גל רחצה 3 ב 1 לעור עדין 500 מ""ל"	19.9		
אדג מחסנית סכיני גילוח כחול	49.9		
אדג מכשיר סכין גילוח כחול	68.9		
אדגיקה 350 גרם	22.9		
אדזיקה חריפה 300 גרם נזין	21.9		
אדיר כרם בן זמרה מרסלן רוזה 500 מל	69.9		
אדממה אורגני קפוא 400 גר	14.5		
אובה נורמל 32 חדש	25.9		
אובלטים מקמח חומוס אורגני 100 גרם	13.9		
אובלטים מקמח כוסמת אורגני 100 גרם	13.9		
אובלטים מקמח עדשים אדומות אורגני 100 גרם	13.9		
אובלטים קימל 225 גר	13.4		
אובלטים שומשום 225 גר	13.4		
אובליפיכה מסיכת סרום	57.0		
אובלקה תערובת 4 דגנים 350 גר	7.9		
אוגרטה ריוחה קוסצה 2012 750 מל	42.9		
אוגרטה ריוחה קריאנזה 750 מל	59.9		
אוגרטה ריוחה רזרב 750 מל	95.9		
אודון של מסעדות 400 גרם	17.5		
אודסקיה להב	93.0		
אוולאנג אוכמניות קפואות שוקולד חלב 170 ג	41.9		
אוולאנג דובדבן קפוא שוקולד מריר 142 גרם	41.9		
אוולאנג פטל קפוא מצופה שוקולד חלב 142 גר	41.9		
אוולאנג תות קפוא מצופה שוקולד חלב 170 גר	41.9		
"אוזו 12 750 מ""ל"	95.9		
"אוזו 7 700 מ""ל"	74.9		
אוזו פלומארי 1 ליטר	114.9		
"אוזו פלומארי 700 מ""ל"	79.9		
אוזו פלומארי 700 מארז כוסות כשר	93.9		
אוזני פיל	37.9		
"אוטלי משקה שיבולת שועל בריסטה 500 מ""ל"	13.2		
אוטלי משקה שיבולת שועל ללס 1 ליטר	17.5		
"אוי אוצה מאצה גנמיצה 500 מ""ל"	10.5		
אוכמניות	19.9		
אוכמניות אדומות 250 גר	19.9		
אוכמניות אורגני קפוא 300 גרם	29.9		
אוכמניות טריות יחידה	19.9		
אוכמניות כחולות 250 גר	21.9		
אוכמניות כחולות מוקפאות סנפרוסט 300 גרם	18.5		
אוכמניות פרוזן 300 גרם	19.9		
אוכמניות שחורות 250 גר	21.9		
אולד אמסטרדם RESERV במשקל	145.0		
אולד טביליסי מוקוזאני יין אדום יבש 750 מ	52.9		
אולדייז מגה פק לארג 68 יח	21.9		
אולויז קוואטרו לילה בטוח אקסטרה 32 יח	38.9		
אולטרא פט מעדן בקר לחתול 100 גרם	5.9		
אולטרא פט מעדן ברווז לחתול 100 גרם	5.9		
אולטרא פט מעדן ברווז לכלב 100 גרם	5.9		
אולטרא פט מעדן סלמון לחתול 100 גרם	5.9		
אולטרא פט מעדן עוף לחתול 100 גרם	5.9		
אולטרה- סכין סנטוקו	44.9		
אולטרסול דר פישר קרם פנים 50/75+	60.9		
אולטרסול ספריי שקוף	60.9		
אולטרסול ספריי שקוף 50/200	73.9		
אולטרסול קרם פנים 50/75	60.9		
אולטרסול קרם פנים קידס 50/75	60.9		
אולטרסול תחליב 50/250	70.9		
אוללה משקה מוגז בנגיעות אבטיח 330 מל	4.9		
אוללה משקה מוגז בנגיעות אננס 330 מל	4.9		
אוללה משקה מוגז בנגיעות אפרסק 330 מל	4.9		
אוללה משקה מוגז בנגיעות ליים 330 מל	4.9		
אומגה 3 950	199.9		
אומצת צלע בקר טרי	214.9		
אונטר ריב בקר טרי	72.9		
אוסובוקו בקר טרי	59.9		
אוסובוקו לבן טרי	28.9		
אוסובוקו עגל טרי	69.9		
אוסובוקו פרימיום טרי	89.9		
"אוסטרליה פייל אייל וולפאס אנגלמן 568 מ""ל"	11.9		
אופרה סט 6 גביעים ל	249.0		
אופרה סט 6 כוסות לו	199.0		
אוקסו יין לבן נוזלי 81 גר	22.9		
אוקסו ציר בקר נוזלי 80 גרם	22.9		
אוקסו ציר בשר בצל ורוזמרין נוזלי 80 גרם	22.9		
אוקסיגן אבקה להסרת כתמים קשים לבנה	41.9		
אוקסיגן אבקה להסרת כתמים קשים צבעונית	41.9		
אוראו ביס קראנצי ציפוי שוקולד 110 גרם	12.4		
אוראו בראוניז 176 גר	11.9		
אוראו גלידה אוכמניות 119.6 גרם	8.9		
אוראו וופל דאבל שוקולד 140.4 גרם	7.9		
אוראו ממולאות קרם וניל באטמן 176 גרם	11.9		
אוראו מריר ושוקולד לבן 119.6 גרם	8.9		
אוראו פאג שוקולד לבן 246 גרם	17.9		
אוראו פאדג שוקולד חלב 246 גרם	17.9		
אוראו פאי תות 168 גרם	17.9		
אורביט רפרשרס אבטיח ופטל 67 גר	15.5		
אורביטול חוט דנטלי 50 מטר תוספת שעווה	12.9		
אורביטול חוט דנטלי+ קיסם 50 יחידות	12.9		
אורביטול חוט דנטלי+ קיסם 50 מטר	12.9		
אורביטול מברשת שיניים רביעייה	14.9		
אורביטול מי פה להלבנה 500 מל	19.9		
אורביטול קידס מי פה 250 מל	17.9		
אורביטול קידס מי פה בוב ספוג 250 מל	17.9		
אורגנו 20 גרם שקית	8.2		
אורגנו 40 גרם	12.2		
אורגנו ארוז	7.9		
אורגנו ספרדרי במשקל	130.0		
אורו פולי קפה 250 גר לוואצה	54.9		
אורז אוסטרלי עגול 1 קג סנסויט	14.9		
"אורז בסמטי 1 ק""ג"	14.5		
אורז בסמטי אלפאנט 1 קג	15.5		
"אורז בסמטי ארוך קוהינור 1 ק""ג"	17.9		
אורז בסמטי חום אורגני 500 גר	13.9		
"אורז בסמטי חום מלא דאווט 1 ק""ג"	16.9		
"אורז בסמטי טילדה 1 ק""ג"	22.9		
אורז בסמטי לבן אורגני 500 גר	13.9		
אורז בסמטי לבן אורגני 500 גרם	14.4		
"אורז בסמטי מובחר דאווט 1 ק""ג"	14.9		
אורז בסמטי מלא 1 קג	17.5		
"אורז בסמטי מלא אורגני 1 ק""ג"	24.9		
"אורז בסמטי שקדיה 1 ק""ג"	14.5		
אורז בר טבעי 400 גרם	41.9		
אורז חום מלא ארוך אורגני 500 גר הרדוף	11.4		
"אורז יסמין טילדה 1 ק""ג"	18.9		
"אורז יסמין מדליה 5 ק""ג שוקחה"	53.9		
"אורז יסמין פרימיום 1 ק""ג"	14.9		
אורז יסמין קלאסי 1 קג	12.9		
"אורז לסושי 1 ק""ג"	18.5		
אורז מלא 1 קג	10.9		
אורז סושי 1 קג	13.9		
אורז עגול 1 קג	12.9		
"אורז עגול בוכרי לאוש פלוב 1 ק""ג"	23.9		
"אורז עגול מלא אורגני 1 ק""ג תבואות"	18.9		
אורז עגול מלא אורגני 500 גר	12.9		
אורז עם דג אילתית וירקות בסגנון מזרח 400	28.9		
"אורז פרסי 1 ק""ג DAAWAT"	13.2		
"אורז פרסי 1 ק""ג סוגת"	11.9		
"אורז פרסי טילדה 1 ק""ג"	15.9		
אורז קלרוז 1 קג	14.2		
"אורז ריזוטו איטלקי 1 ק""ג"	33.9		
"אורז תאילנדי 1 ק""ג"	8.9		
אורז-ארבוריו 1 קג	22.9		
אורטגה אבקת תיבול חריף 28 גרם	15.9		
אורטגה טאקו SHELL מקסיקני 140 גרם	29.9		
אורטגה טאקו ארוחת קיט 252 גרם	39.9		
אורטגו רוטב טאקו מיילד 226 גרם	27.9		
"אותנטיק סיידר מתוק - 750 מ""ל"	24.9		
אחלה טעמי השוק קוביות סלק 400 גר	16.5		
אחמד מארז חליטות 6 סוגים 120 גרם	41.9		
אחסון דגנים 4.2 סיסטמה	59.9		
אחסון מחולקת 1 סיסטמה	29.9		
אחסון מחולקת 350 סיסטמה	24.9		
אטב אחיזה רחבה בעיצוב איטלקי הוסטס 36 יח	14.9		
אטב פרמיום כחול/לבן הוסטס 48 יח	14.9		
אטריות אדממה אורגני 250 גרם	23.9		
