item_name	itemprice	chain
*מבצע* דפי אורז 400	9.9	Yohananof
*מבצע* דפי אורז 400	11.9	city market
*מבצע* טבורוג 5%	30.0	Yellow
*מבצע* טבורוג 5%	30.0	Yohananof
*מבצע* טחינה גולמית	18.9	Yellow
*מבצע* טחינה גולמית	24.5	city market
*מבצע* כוסות ליין 50	2.9	Yellow
*מבצע* כוסות ליין 50	2.9	Yohananof
*מבצע* כוסות ליין 50	2.9	city market
*מבצע* לביבות ברוקול	24.9	Rami Levi
*מבצע* לביבות ברוקול	30.2	Yellow
*מבצע* מטחנת מלח  אק	11.9	Yellow
*מבצע* מטחנת מלח  אק	11.9	Yohananof
*מבצע* מטחנת מלח  אק	16.9	city market
*מבצע* מפיות אירוח ל	7.9	Yellow
*מבצע* מפיות אירוח ל	7.9	Yohananof
*מבצע* מפת ניילון  ב	27.9	Yellow
*מבצע* מפת ניילון  ב	24.9	Yohananof
*מבצע* סרוולט הונגרי	28.9	Yellow
*מבצע* סרוולט הונגרי	28.9	Yohananof
*מבצע* סרוולט הונגרי	34.9	city market
*מבצע* פילה הרינג לב	50.0	Yellow
*מבצע* פילה הרינג לב	50.0	Yohananof
*מבצע* שימורי טונה ב	14.9	Yellow
*מבצע* שימורי טונה ב	14.9	Yohananof
*מבצע* שלישיית מנורו	21.9	Yellow
*מבצע* שלישיית מנורו	21.9	Yohananof
*מבצע* שניצל טבע 1 ק	31.9	Yellow
*מבצע* שניצל טבע 1 ק	31.9	Yohananof
*מבצע* שניצל טבע 1 ק	34.9	city market
*מבצע* שניצל עוף פרו	39.9	Rami Levi
*מבצע* שניצל עוף פרו	54.9	city market
*מבצע* שעועית ירוקה	7.9	Yellow
*מבצע* שעועית ירוקה	7.9	Yohananof
*מבצע* שקדי מרק 220	12.9	Yellow
*מבצע* שקדי מרק 220	12.9	Yohananof
*מבצע* תמרים מרוסקים	7.9	Yellow
*מבצע* תמרים מרוסקים	7.9	Yohananof
1.2  מסקרפונה עם קרמל מלוח	26.9	Hazi Hinam
1.2  מסקרפונה עם קרמל מלוח	25.9	Rami Levi
1.2  מסקרפונה עם קרמל מלוח	26.9	Shufersal
1.2  מסקרפונה עם קרמל מלוח	28.9	Tiv Taam
1.2  מסקרפונה עם קרמל מלוח	26.9	Yellow
1.2  מסקרפונה עם קרמל מלוח	19.9	city market
1.2 מסקרפונה עם עוגיות  ונטיפי שוקולד חלב	26.9	Hazi Hinam
1.2 מסקרפונה עם עוגיות  ונטיפי שוקולד חלב	25.9	Rami Levi
1.2 מסקרפונה עם עוגיות  ונטיפי שוקולד חלב	26.9	Shufersal
1.2 מסקרפונה עם עוגיות  ונטיפי שוקולד חלב	24.9	city market
1.2 מסקרפונה עם תות ונטיפי שוקולד חלב	26.9	Hazi Hinam
1.2 מסקרפונה עם תות ונטיפי שוקולד חלב	28.9	Tiv Taam
1.2 מסקרפונה עם תות ונטיפי שוקולד חלב	24.9	city market
1.8%שומן  NOT MILK א	15.9	Dor Alon
1.8%שומן  NOT MILK א	15.7	Hazi Hinam
1.8%שומן  NOT MILK א	13.9	Rami Levi
1.8%שומן  NOT MILK א	15.9	Shufersal
1.8%שומן  NOT MILK א	14.0	Yellow
1.8%שומן  NOT MILK א	14.0	Yohananof
1.8%שומן  NOT MILK א	14.9	city market
10 פיתות מקמח כוסמין	12.9	Yellow
10 פיתות מקמח כוסמין	12.9	Yohananof
100 כפית	14.9	Super Yehuda
100 כפית	7.9	Yellow
100 כפית	7.9	Yohananof
100 קיסמי שיניים עם חוט	15.9	Shufersal
100 קיסמי שיניים עם חוט	13.5	Tiv Taam
100 קיסמי שיניים עם חוט	15.0	Yellow
100 קיסמי שיניים עם חוט	15.0	Yohananof
12 נרות ג'מבו אדום +	5.9	Super Yehuda
12 נרות ג'מבו אדום +	4.9	city market
18 יחידות ביצים | מו	21.13	Super Yehuda
18 יחידות ביצים | מו	18.0	city market
1ליטרPrimavena - משק	16.9	Dor Alon
1ליטרPrimavena - משק	13.9	Rami Levi
1ליטרPrimavena - משק	15.9	Tiv Taam
1ליטרPrimavena - משק	15.0	Yohananof
2 סוללות C פלוס פאוור	23.9	Hazi Hinam
2 סוללות C פלוס פאוור	29.9	city market
2 תבניות אלומיניום עם ידיות סנו סושי XL	10.0	Hazi Hinam
2 תבניות אלומיניום עם ידיות סנו סושי XL	12.9	city market
20 תחבושות לילי ללילה	16.9	Shufersal
20 תחבושות לילי ללילה	16.0	Yellow
20 תחבושות לילי ללילה	16.0	Yohananof
20 תחבושות לילי ללילה	17.9	city market
200  גרםvalio-חמאה	19.9	Dor Alon
200  גרםvalio-חמאה	16.9	Hazi Hinam
200  גרםvalio-חמאה	16.9	Rami Levi
200  גרםvalio-חמאה	16.9	Shufersal
200  גרםvalio-חמאה	21.9	Super Yehuda
200  גרםvalio-חמאה	16.9	Tiv Taam
200  גרםvalio-חמאה	16.9	Yellow
200  גרםvalio-חמאה	16.9	Yohananof
200  גרםvalio-חמאה	13.9	city market
24 תחבושות לילי נורמל+	16.9	Shufersal
24 תחבושות לילי נורמל+	16.0	Yellow
24 תחבושות לילי נורמל+	16.0	Yohananof
24 תחבושות לילי נורמל+	17.9	city market
24K יין בלו נאן רוזה	64.9	Dor Alon
24K יין בלו נאן רוזה	55.4	Hazi Hinam
24K יין בלו נאן רוזה	54.9	Yellow
24K יין בלו נאן רוזה	59.9	city market
250 אריסה מתוקה ביטו	15.7	Rami Levi
250 אריסה מתוקה ביטו	16.5	Shufersal
250 אריסה מתוקה ביטו	15.9	Yohananof
250 אריסה מתוקה ביטו	14.9	city market
3 מברשות שיניים אורל בי קלאסיק.	15.1	Hazi Hinam
3 מברשות שיניים אורל בי קלאסיק.	14.8	Tiv Taam
3.5%שומן  NOT MILK א	15.9	Dor Alon
3.5%שומן  NOT MILK א	15.7	Hazi Hinam
3.5%שומן  NOT MILK א	13.9	Rami Levi
3.5%שומן  NOT MILK א	15.9	Shufersal
3.5%שומן  NOT MILK א	14.0	Yellow
3.5%שומן  NOT MILK א	14.0	Yohananof
3.5%שומן  NOT MILK א	14.9	city market
32 טמפוני קוטקס סופר	26.5	Shufersal
32 טמפוני קוטקס סופר	34.9	Tiv Taam
32 טמפוני קוטקס סופר	24.1	Yellow
32 טמפוני קוטקס סופר	24.1	Yohananof
32 טמפוני קוטקס סופר	24.9	city market
4 מיני אייס דרים קפה200	21.9	Shufersal
4 מיני אייס דרים קפה200	22.9	Tiv Taam
4 סכיני גילוח ג'ילט פיוזן	70.5	Hazi Hinam
4 סכיני גילוח ג'ילט פיוזן	82.9	Tiv Taam
4 סכיני גילוח ג'ילט פיוזן	60.4	Yohananof
4 סכיני גילוח ג'ילט פיוזן	49.9	city market
4 תבניות L סנו סושי אקסטרה חזקות 26*36	15.1	Hazi Hinam
4 תבניות L סנו סושי אקסטרה חזקות 26*36	9.9	city market
4 תבניות אלומיניום עם ידיות סנו סושי L	10.0	Hazi Hinam
4 תבניות אלומיניום עם ידיות סנו סושי L	12.9	city market
439גרם  CHI-CHISמטבל	22.9	Dor Alon
439גרם  CHI-CHISמטבל	19.1	Hazi Hinam
439גרם  CHI-CHISמטבל	19.1	Rami Levi
439גרם  CHI-CHISמטבל	21.9	Shufersal
439גרם  CHI-CHISמטבל	25.9	Tiv Taam
439גרם  CHI-CHISמטבל	14.9	Yellow
46טיטולים פרימיום שלב 3	29.9	Shufersal
46טיטולים פרימיום שלב 3	39.9	city market
50 להבונים בשקית	8.9	Rami Levi
50 להבונים בשקית	10.9	city market
52מגן תחתון קוטקס L	22.5	Shufersal
52מגן תחתון קוטקס L	27.9	Tiv Taam
52מגן תחתון קוטקס L	18.1	Yellow
52מגן תחתון קוטקס L	18.1	Yohananof
52מגן תחתון קוטקס L	24.9	city market
6 חליות במתיקות מעוד	16.9	Yohananof
6 חליות במתיקות מעוד	18.9	city market
6 מטריות חרוב	19.9	Dor Alon
6 מטריות חרוב	16.9	city market
7 תבניות אלומיניום אינגלישקייק EXTRA חזקות	15.1	Hazi Hinam
7 תבניות אלומיניום אינגלישקייק EXTRA חזקות	12.5	Tiv Taam
7 תבניות אלומיניום אינגלישקייק EXTRA חזקות	11.9	city market
750 מלINSPIRE  יין ק	84.9	Dor Alon
750 מלINSPIRE  יין ק	77.9	Tiv Taam
"A.R מטרנה בד""ץ 700 גרם"	81.6	Hazi Hinam
"A.R מטרנה בד""ץ 700 גרם"	72.9	Rami Levi
"A.R מטרנה בד""ץ 700 גרם"	79.9	Shufersal
ACTIVE PUREג'ל ניקוי150מ	36.9	Shufersal
ACTIVE PUREג'ל ניקוי150מ	32.9	Yohananof
ARGANIA מסיכה לשיער	45.9	Dor Alon
ARGANIA מסיכה לשיער	40.2	Yohananof
ARGANIA מסיכה לשיער	41.9	city market
ARGANIA שמפו קיק ללא	41.9	Dor Alon
ARGANIA שמפו קיק ללא	29.9	Shufersal
ARGANIA שמפו קיק ללא	30.2	Yohananof
ARGANIA שמפו קיק ללא	37.9	city market
Aussie Lemonadeמשקה	9.9	Dor Alon
Aussie Lemonadeמשקה	8.9	Shufersal
Aussie Lemonadeמשקה	10.9	Super Yehuda
Aussie Lemonadeמשקה	8.9	Tiv Taam
Aussie Lemonadeמשקה	8.4	Yellow
Aussie Lemonadeמשקה	8.4	Yohananof
B&D חמאת בוטנים טבעי	16.9	Dor Alon
B&D חמאת בוטנים טבעי	14.1	Hazi Hinam
B&D חמאת בוטנים טבעי	15.9	Shufersal
B&D חמאת בוטנים טבעי	18.9	Super Yehuda
B&D חמאת בוטנים טבעי	15.9	Tiv Taam
B&D חמאת בוטנים טבעי	14.0	Yellow
B&D חמאת בוטנים טבעי	14.0	Yohananof
B&D חמאת בוטנים טבעי	15.9	city market
BIO כביסכל אלגנס 2 ליטר	44.9	Tiv Taam
BIO כביסכל אלגנס 2 ליטר	40.2	Yellow
BIO כביסכל אלגנס 2 ליטר	40.2	Yohananof
BIO משקה סויה עם תות	7.9	Dor Alon
BIO משקה סויה עם תות	7.0	Hazi Hinam
BIO משקה סויה עם תות	6.3	Rami Levi
BIO משקה סויה עם תות	8.9	Super Yehuda
BIO משקה סויה עם תות	7.9	city market
BIOכביסכל 2 ליטר ביי	44.9	Dor Alon
BIOכביסכל 2 ליטר ביי	35.9	Hazi Hinam
BIOכביסכל 2 ליטר ביי	44.9	Tiv Taam
BIOכביסכל 2 ליטר ביי	40.2	Yellow
BIOכביסכל 2 ליטר ביי	40.2	Yohananof
BLU  משקה אנרגיה פחי	5.9	Dor Alon
BLU  משקה אנרגיה פחי	3.9	Rami Levi
BLU  משקה אנרגיה פחי	4.5	Shufersal
BLU  משקה אנרגיה פחי	4.5	Tiv Taam
BLU  משקה אנרגיה פחי	3.9	Yellow
BLU  משקה אנרגיה פחי	3.9	Yohananof
BLU  משקה אנרגיה פחי	5.0	city market
BLU משקה אנרגיה דיי	5.9	Dor Alon
BLU משקה אנרגיה דיי	4.5	Shufersal
BLU משקה אנרגיה דיי	4.5	Tiv Taam
BLU משקה אנרגיה דיי	5.0	city market
BLU משקה אנרגיה ענבי	5.9	Dor Alon
BLU משקה אנרגיה ענבי	3.9	Rami Levi
BLU משקה אנרגיה ענבי	4.5	Tiv Taam
BLU משקה אנרגיה ענבי	4.2	Yellow
BLU משקה אנרגיה ענבי	6.0	city market
BREEZE תחבושות אקסטרה 10 יח	16.9	Hazi Hinam
BREEZE תחבושות אקסטרה 10 יח	14.9	Rami Levi
BREEZE תחבושות אקסטרה פלוס 8 יח	16.9	Hazi Hinam
BREEZE תחבושות אקסטרה פלוס 8 יח	14.9	Rami Levi
BREEZE תחבושות אקסטרה פלוס 8 יח	15.0	Yohananof
BREEZE תחבושות מקסי 8 יח	16.9	Hazi Hinam
BREEZE תחבושות מקסי 8 יח	14.9	Rami Levi
BREEZE תחבושות מקסי 8 יח	19.5	Shufersal
BREEZE תחבושות נורמל 12 יח	16.9	Hazi Hinam
BREEZE תחבושות נורמל 12 יח	14.9	Rami Levi
BREEZE תחבושות נורמל 12 יח	19.5	Shufersal
BREEZE תחבושות נורמל 12 יח	15.0	Yellow
BREEZE תחבושות נורמל 12 יח	15.0	Yohananof
CHI-CHIS מטבל סלסה ב	22.9	Dor Alon
CHI-CHIS מטבל סלסה ב	19.1	Hazi Hinam
CHI-CHIS מטבל סלסה ב	19.1	Rami Levi
CHI-CHIS מטבל סלסה ב	21.9	Shufersal
CHI-CHIS מטבל סלסה ב	25.9	Tiv Taam
CHI-CHIS מטבל סלסה ב	14.9	Yellow
CHIPS  וופל ציפס קרי	21.9	Dor Alon
CHIPS  וופל ציפס קרי	22.9	Super Yehuda
CHIPS  וופל ציפס קרי	15.9	Yellow
CHIPS  וופל ציפס קרי	15.9	Yohananof
DAAWATאורז יסמין 1 ק	13.9	Dor Alon
DAAWATאורז יסמין 1 ק	12.9	city market
"DAY TO DAY מחבת סגול 24 ס""מ 1/6"	69.9	Hazi Hinam
"DAY TO DAY מחבת סגול 24 ס""מ 1/6"	84.9	Tiv Taam
DEEP חטיף ציפס ברביק	24.9	Dor Alon
DEEP חטיף ציפס ברביק	15.9	city market
DEEP ציפס שמנת בצל ל	24.9	Dor Alon
DEEP ציפס שמנת בצל ל	15.9	city market
Deliceגבינת קממבר יו	25.9	Dor Alon
Deliceגבינת קממבר יו	23.1	Hazi Hinam
Deliceגבינת קממבר יו	19.9	Rami Levi
Deliceגבינת קממבר יו	24.9	Tiv Taam
Deliceגבינת קממבר יו	23.9	city market
Dחלב 3% מועשר וויטמי	9.9	Dor Alon
Dחלב 3% מועשר וויטמי	8.6	Hazi Hinam
Dחלב 3% מועשר וויטמי	8.6	Rami Levi
Dחלב 3% מועשר וויטמי	8.9	Shufersal
Dחלב 3% מועשר וויטמי	10.3	Super Yehuda
Dחלב 3% מועשר וויטמי	8.9	Yellow
Dחלב 3% מועשר וויטמי	8.9	city market
ELVIVE שמפו מטהר לשו	20.9	Dor Alon
ELVIVE שמפו מטהר לשו	18.5	Rami Levi
ELVIVE שמפו מטהר לשו	19.9	Shufersal
ELVIVE שמפו מטהר לשו	20.9	Tiv Taam
ELVIVE שמפו מטהר לשו	18.9	Yellow
ELVIVE שמפו מטהר לשו	18.9	Yohananof
ELVIVE שמפו משקם לשי	20.9	Dor Alon
ELVIVE שמפו משקם לשי	18.9	Hazi Hinam
ELVIVE שמפו משקם לשי	18.5	Rami Levi
ELVIVE שמפו משקם לשי	19.9	Shufersal
"FUZE- T בטעם ZERO אפרסק 500 מ""ל"	7.6	Hazi Hinam
"FUZE- T בטעם ZERO אפרסק 500 מ""ל"	7.5	Tiv Taam
FUZE-T בטעם פירות יער ונענע זירו 1.5 ליטר	8.8	Hazi Hinam
FUZE-T בטעם פירות יער ונענע זירו 1.5 ליטר	8.6	Rami Levi
FUZE-T בטעם פירות יער ונענע זירו 1.5 ליטר	10.1	Super Yehuda
FUZE-T בטעם פירות יער ונענע זירו 1.5 ליטר	7.9	Tiv Taam
FUZE-T בטעם פירות יער ונענע זירו 1.5 ליטר	9.9	city market
FUZE-T בטעם תפוח וקינמון 1.5 ליטר	8.8	Hazi Hinam
FUZE-T בטעם תפוח וקינמון 1.5 ליטר	8.6	Rami Levi
FUZE-T בטעם תפוח וקינמון 1.5 ליטר	8.9	Shufersal
FUZE-T בטעם תפוח וקינמון 1.5 ליטר	7.9	Tiv Taam
FUZE-T בטעם תפוח וקינמון 1.5 ליטר	8.6	Yellow
FUZE-T בטעם תפוח וקינמון 1.5 ליטר	8.6	Yohananof
FUZE-T לימון נענע 1.5 ליטר	8.8	Hazi Hinam
FUZE-T לימון נענע 1.5 ליטר	8.6	Rami Levi
FUZE-T לימון נענע 1.5 ליטר	8.9	Shufersal
FUZE-T לימון נענע 1.5 ליטר	10.1	Super Yehuda
FUZE-T לימון נענע 1.5 ליטר	7.9	Tiv Taam
FUZE-T לימון נענע 1.5 ליטר	8.6	Yellow
FUZE-T לימון נענע 1.5 ליטר	8.6	Yohananof
FUZE-T לימון נענע 1.5 ליטר	9.9	city market
FUZE-T ענבים 1.5 ליטר	8.8	Hazi Hinam
FUZE-T ענבים 1.5 ליטר	8.6	Rami Levi
FUZE-T ענבים 1.5 ליטר	8.9	Shufersal
FUZE-T ענבים 1.5 ליטר	10.1	Super Yehuda
FUZE-T ענבים 1.5 ליטר	7.9	Tiv Taam
FUZE-T ענבים 1.5 ליטר	8.6	Yellow
FUZE-T ענבים 1.5 ליטר	8.6	Yohananof
FUZE-T ענבים 1.5 ליטר	9.9	city market
Fun Waterשוופס  אפרס	7.9	Dor Alon
Fun Waterשוופס  אפרס	5.0	Rami Levi
Fun Waterשוופס  אפרס	5.0	Yohananof
GO  משקה חלבון מלון	14.9	Dor Alon
GO  משקה חלבון מלון	13.9	Hazi Hinam
GO  משקה חלבון מלון	11.9	Rami Levi
GO  משקה חלבון מלון	14.1	Shufersal
GO  משקה חלבון מלון	12.2	Yellow
GO  משקה חלבון מלון	14.9	city market
GO יוגורט אוורירי בט	7.3	Dor Alon
GO יוגורט אוורירי בט	6.4	Hazi Hinam
GO יוגורט אוורירי בט	6.0	Rami Levi
GO יוגורט אוורירי בט	6.7	Shufersal
GO יוגורט אוורירי בט	6.5	Yohananof
GO יוגורט אוורירי בט	7.9	city market
GO יוגורט יופלה תות	7.5	Dor Alon
GO יוגורט יופלה תות	6.4	Hazi Hinam
GO יוגורט יופלה תות	6.1	Rami Levi
GO יוגורט יופלה תות	6.8	Shufersal
GO יוגורט יופלה תות	7.9	Super Yehuda
GO יוגורט יופלה תות	6.8	Tiv Taam
GO יוגורט יופלה תות	6.1	Yellow
GO יוגורט יופלה תות	6.1	Yohananof
GO יוגורט יופלה תות	6.9	city market
GOיוגורט יופלה  פירו	7.5	Dor Alon
GOיוגורט יופלה  פירו	6.4	Hazi Hinam
GOיוגורט יופלה  פירו	6.1	Rami Levi
GOיוגורט יופלה  פירו	6.8	Shufersal
GOיוגורט יופלה  פירו	7.9	Super Yehuda
GOיוגורט יופלה  פירו	6.8	Tiv Taam
GOיוגורט יופלה  פירו	6.1	Yellow
GOיוגורט יופלה  פירו	6.1	Yohananof
GOיוגורט יופלה  פירו	6.9	city market
GOיוגורט סמיך 0.4% ק	7.5	Dor Alon
GOיוגורט סמיך 0.4% ק	6.4	Hazi Hinam
GOיוגורט סמיך 0.4% ק	6.4	Rami Levi
GOיוגורט סמיך 0.4% ק	6.7	Shufersal
GOיוגורט סמיך 0.4% ק	7.9	Super Yehuda
GOיוגורט סמיך 0.4% ק	6.7	Tiv Taam
GOיוגורט סמיך 0.4% ק	6.5	Yellow
GOיוגורט סמיך 0.4% ק	6.5	Yohananof
GOיוגורט סמיך 0.4% ק	7.9	city market
GOמעדן חלב בטעם קרמל	6.9	Dor Alon
GOמעדן חלב בטעם קרמל	6.3	Hazi Hinam
GOמעדן חלב בטעם קרמל	5.2	Rami Levi
GOמעדן חלב בטעם קרמל	6.3	Shufersal
GOמעדן חלב בטעם קרמל	7.0	Super Yehuda
GOמעדן חלב בטעם קרמל	6.7	Tiv Taam
GOמעדן חלב בטעם קרמל	5.3	Yellow
GOמעדן חלב בטעם קרמל	5.9	city market
Go משקה חלב וניל 340	10.9	Dor Alon
Go משקה חלב וניל 340	9.4	Hazi Hinam
Go משקה חלב וניל 340	8.2	Rami Levi
Go משקה חלב וניל 340	8.9	Shufersal
Go משקה חלב וניל 340	11.5	Super Yehuda
Go משקה חלב וניל 340	10.7	Tiv Taam
Go משקה חלב וניל 340	8.2	Yohananof
Go משקה חלב וניל 340	9.9	city market
HP ברביקיו דבש	21.9	Dor Alon
HP ברביקיו דבש	21.9	Tiv Taam
HP ברביקיו דבש	18.9	city market
HP ברביקיו קלאסי	21.9	Dor Alon
HP ברביקיו קלאסי	18.9	city market
"ICE נמס וניל 250 מ""ל"	10.9	Dor Alon
"ICE נמס וניל 250 מ""ל"	7.9	Hazi Hinam
"ICE נמס וניל 250 מ""ל"	6.9	Rami Levi
"ICE נמס וניל 250 מ""ל"	9.9	Tiv Taam
"ICE נמס וניל 250 מ""ל"	7.9	Yellow
"ICE נמס וניל 250 מ""ל"	7.9	Yohananof
"ICE נמס וניל 250 מ""ל"	8.0	city market
"ICE נמס קלאסי 250 מ"""	10.9	Dor Alon
"ICE נמס קלאסי 250 מ"""	7.9	Hazi Hinam
"ICE נמס קלאסי 250 מ"""	6.9	Rami Levi
"ICE נמס קלאסי 250 מ"""	10.9	Super Yehuda
"ICE נמס קלאסי 250 מ"""	9.9	Tiv Taam
"ICE נמס קלאסי 250 מ"""	7.9	Yellow
"ICE נמס קלאסי 250 מ"""	7.9	Yohananof
"ICE נמס קלאסי 250 מ"""	8.0	city market
"IMPRESSION בלנד לבן 150 שנה 750 מ""ל"	49.9	Tiv Taam
"IMPRESSION בלנד לבן 150 שנה 750 מ""ל"	50.3	Yellow
"IMPRESSION בלנד לבן 150 שנה 750 מ""ל"	50.3	Yohananof
"IMPRESSION פטיט סירה 150 שנה 750 מ""ל"	49.9	Tiv Taam
"IMPRESSION פטיט סירה 150 שנה 750 מ""ל"	50.3	Yellow
"IMPRESSION פטיט סירה 150 שנה 750 מ""ל"	39.9	city market
IPA בירה שפירא 330 מ	17.9	Dor Alon
IPA בירה שפירא 330 מ	14.5	Tiv Taam
IPA בירה שפירא 330 מ	14.9	city market
IPA פחית בירה מלכה ה	16.9	Dor Alon
IPA פחית בירה מלכה ה	15.9	Tiv Taam
JIF חמאת בוטנים 454	19.9	Dor Alon
JIF חמאת בוטנים 454	20.1	Hazi Hinam
JIF חמאת בוטנים 454	20.9	Rami Levi
JIF חמאת בוטנים 454	22.9	Tiv Taam
"K רב קוטל חרקים 500 מ""ל"	23.2	Hazi Hinam
"K רב קוטל חרקים 500 מ""ל"	27.9	Tiv Taam
"K רב קוטל חרקים 500 מ""ל"	19.9	Yellow
"K רב קוטל חרקים 500 מ""ל"	19.9	Yohananof
"K רב קוטל חרקים 500 מ""ל"	24.9	city market
K-300 קוטל חרקים מיידי ומתמשך	18.9	Hazi Hinam
K-300 קוטל חרקים מיידי ומתמשך	15.9	Shufersal
K-300 קוטל חרקים מיידי ומתמשך	14.9	Tiv Taam
K-300 קוטל חרקים מיידי ומתמשך	11.9	Yohananof
K-300 קוטל חרקים מיידי ומתמשך	12.9	city market
"K-333 קוטל חרקים 750 מ""ל"	27.9	Hazi Hinam
"K-333 קוטל חרקים 750 מ""ל"	26.9	Rami Levi
"K-333 קוטל חרקים 750 מ""ל"	41.9	Tiv Taam
"K-333 קוטל חרקים 750 מ""ל"	29.9	Yohananof
"K-333 קוטל חרקים 750 מ""ל"	32.9	city market
K-400 קוטל חרקים קטן	11.9	Hazi Hinam
K-400 קוטל חרקים קטן	14.9	Tiv Taam
K-400 קוטל חרקים קטן	11.9	Yellow
K-400 קוטל חרקים קטן	19.9	city market
"K500 קוטל חרקים 400 מ""ל"	23.2	Hazi Hinam
"K500 קוטל חרקים 400 מ""ל"	19.9	Rami Levi
"K500 קוטל חרקים 400 מ""ל"	27.9	Tiv Taam
"K500 קוטל חרקים 400 מ""ל"	19.9	Yohananof
"K500 קוטל חרקים 400 מ""ל"	23.9	city market
KH-סופר  נוסחה חדשני	24.9	Dor Alon
KH-סופר  נוסחה חדשני	25.2	Hazi Hinam
KH-סופר  נוסחה חדשני	19.9	Rami Levi
KH-סופר  נוסחה חדשני	21.9	Shufersal
KH-סופר  נוסחה חדשני	26.9	Tiv Taam
KH-סופר  נוסחה חדשני	20.1	Yellow
KH-סופר  נוסחה חדשני	20.1	Yohananof
KHסופר קלינר -7 למטב	18.9	Dor Alon
KHסופר קלינר -7 למטב	11.9	Hazi Hinam
KHסופר קלינר -7 למטב	14.9	Rami Levi
KHסופר קלינר -7 למטב	17.9	Shufersal
KHסופר קלינר -7 למטב	11.9	Yellow
KHסופר קלינר -7 למטב	11.9	Yohananof
L כפפות ניטריל שחור טאצ	22.9	Tiv Taam
L כפפות ניטריל שחור טאצ	14.9	city market
L כפפות ניטריל שחורות 80 יחידות	34.9	Tiv Taam
L כפפות ניטריל שחורות 80 יחידות	23.9	Yohananof
L כפפות ניטריל שחורות פארמה אייד 100 יח	22.9	Tiv Taam
L כפפות ניטריל שחורות פארמה אייד 100 יח	16.9	city market
M כפפות ניטריל שחור טאצ	22.9	Tiv Taam
M כפפות ניטריל שחור טאצ	14.9	city market
